127.0.0.1 - - [26/Jan/2023:17:43:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jan/2023:17:43:43 +0900] "GET /review/movie.do HTTP/1.1" 200 9485
0:0:0:0:0:0:0:1 - - [26/Jan/2023:17:43:43 +0900] "GET /review/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:17:43:43 +0900] "GET /review/upload/poster/sundownposter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:17:43:43 +0900] "GET /review/upload/poster/gagarineposter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:17:43:43 +0900] "GET /review/upload/poster/sickofmyselfposter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:17:43:43 +0900] "GET /review/upload/poster/downwithloveposter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:17:43:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2023:17:43:48 +0900] "GET /review/movie.do?cmd=view&seq=1 HTTP/1.1" 200 5049
